Timestamp,Temperature,Pressure,Altitude
2023-04-05 15:12:13.789413,22.3,68652,47.06178329375025
2023-04-05 15:12:16.834899,22.3,100752,47.31268159991913
2023-04-05 15:12:19.879493,22.3,69697,375.52389845778487
2023-04-05 15:12:22.923554,22.3,100756,48.31633531618016
2023-04-05 15:12:25.967935,22.3,100749,3046.031875260463
2023-04-05 15:12:29.012190,22.3,100753,47.56358595492468
2023-04-05 15:12:32.057197,22.3,100756,47.73085888554742
2023-04-05 15:12:35.101896,8.8,100738,47.73085888554742
2023-04-05 15:12:38.146625,22.3,100752,47.56358595492468
2023-04-05 15:12:41.189614,22.3,68646,48.48362034631693
2023-04-05 15:12:44.231210,22.3,100752,47.8144963590819
2023-04-05 15:12:47.275681,22.3,100750,3165.5607463147176
2023-04-05 15:12:50.320597,22.3,100747,48.232693809472686
2023-04-05 15:12:53.362723,22.3,100746,3046.7081507214803
2023-04-05 15:12:56.407933,22.3,100753,47.73085888554742
2023-04-05 15:12:59.452191,22.3,100753,47.73085888554742
2023-04-05 15:13:02.496850,-98.5,96925,48.56726386977085
2023-04-05 15:13:05.541304,22.3,100750,47.31268159991913
2023-04-05 15:13:08.586334,22.3,69697,48.232693809472686
2023-04-05 15:13:11.630532,22.3,100755,47.98177332266108
2023-04-05 15:13:14.675343,22.3,100759,3164.30564211826
2023-04-05 15:13:17.717364,22.3,100755,47.31268159991913
2023-04-05 15:13:20.762050,22.3,100743,75.11620966603788
2023-04-05 15:13:23.807260,22.3,100755,47.56358595492468
2023-04-05 15:13:26.851576,22.3,100755,48.06541281272545
2023-04-05 15:13:29.894163,22.3,68659,47.229048159119614
2023-04-05 15:13:32.938898,22.3,100758,47.56358595492468
2023-04-05 15:13:35.983520,22.3,69694,47.8144963590819
2023-04-05 15:13:39.027748,22.3,100758,47.229048159119614
2023-04-05 15:13:42.072896,22.3,100756,3163.963369231147
2023-04-05 15:13:45.121313,22.3,100755,47.31268159991913
2023-04-05 15:13:48.166390,22.3,100749,3047.159027218054
2023-04-05 15:13:51.213260,22.3,100749,47.479950497806904
2023-04-05 15:13:54.257614,22.3,100755,47.229048159119614
2023-04-05 15:13:57.299605,-98.5,100756,47.73085888554742
2023-04-05 15:14:00.344282,22.3,100758,46.97815186915581
2023-04-05 15:14:03.389233,22.3,68659,47.06178329375025
2023-04-05 15:14:06.434796,22.3,100758,47.73085888554742
2023-04-05 15:14:09.477279,22.3,100756,3163.7351940334033
2023-04-05 15:14:12.521500,22.3,100756,47.56358595492468
2023-04-05 15:14:15.566341,22.3,100758,3047.159027218054
2023-04-05 15:14:18.611407,22.3,100750,(15696.125767428573-19498.372923548228j)
